years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4231346,123/457,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,DE,,329040,2.0,180/401
1980,4231347,123/512,Aisin Seiki Kabushiki Kaisha,3,org_9QlCaiSeR9ZvNlCR5MBR,JP,,71419,2.0,180/179
1980,4231348,123/644,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
1980,4231424,123/41.27,Societe Anonyme des Usines Chausson,3,org_VtQFhfvI1uHosrlio7VM,FR,,394390,1.0,123/41.27
1980,4231543,123/90.12,Maschinenfabrik Augsburg-Nurnberg Aktiengesellschaft,3,org_d7Cgs8GkaSDEwmfFOL1Z,DE,,119492,2.0,180/89.13
1980,4231733,123/438,Westinghouse Electric Corp.,2,org_U41ANU3NAQosbYxqqLP6,US,PA,368964,3.0,180/168
1980,4232368,123/406.63,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,2.0,123/90.5
1980,4232421,123/557,"Orion Industries, Inc.",2,org_fA2ptBtrWSZ9szIJtKlg,US,CA,149272,1.0,123/557
1980,4232437,123/90.27,"V & W Parts & Machine Shops, Inc.",2,org_WQtHk9aWA99Z3r21lGbV,US,AZ,407908,1.0,123/90.27
1980,4232637,123/263,Le Moteur Moderne,3,org_s3pWOsAVlQipcTmI433i,FR,,339367,1.0,123/263
1980,4232638,123/260,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,180/84
1980,4232640,123/308,Yamaha Hatsudoki Kabushiki Kaisha,3,org_AWJtrc4zxt2k6ERLmrw8,JP,,86684,2.0,180/228
1980,4232641,123/76,Societe d'Etudes de Machines Thermiques,3,org_HQ5wMLbtzgVZRtU34FZo,FR,,186456,1.0,123/76
1980,4232642,123/406.51,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,6.0,180/84
1980,4232643,123/435,Fuel Injection Development Corporation,2,org_WxZO9vbn3uEMxC1LeAtd,US,NJ,411293,2.0,123/435
1980,4232644,123/450,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,2.0,123/90.5
1980,4232646,123/600,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,1.0,123/656
1980,4232647,123/478,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,180/428
1980,4232757,123/353,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,8.0,180/84
1980,4232999,123/559.2,"BBC Brown, Boveri & Company, Limited",3,org_6sbFyT7c7MekfYZjpbUQ,CH,,49626,3.0,123/559.2
1980,4233043,123/198E,Briggs & Stratton Corporation,2,org_BB2YwS7kuj9PW8a4PLkC,US,WI,91136,2.0,180/68.3
1980,4233717,123/65A,Honda Giken Kogyo Kabushiki Kaisha,3,org_yUTZSCLdspe7vDSdzJ6d,JP,,439112,3.0,180/90
1980,4233943,123/406.26,Alfa Romeo S.p.A.,3,org_GSnITYQqMqxK2IXE8gfz,IT,,172867,2.0,123/90.15
1980,4233944,123/406.35,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,6.0,123/656
1980,4233946,123/568.19,"Aisan Industry Co., Ltd.",3,org_IvdlnomshMXT1Cd6typF,JP,,203667,2.0,123/676
1980,4233947,123/568.27,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,180/90
1980,4233949,123/634,Societe pour l'Equipement de Vehicules,3,org_IX8mQEJILpd1aRJlQcYZ,FR,,204593,1.0,123/643
1980,4233950,123/630,Tecumseh Products Company,2,org_7AnY59UcC6rXmTJoXVdZ,US,MI,52809,2.0,123/630
1980,4233951,123/625,Kabushiki Kaisha Kyoritsu Seisakujo,3,org_LF9zQAHLkwvl3Fpu2V9p,JP,,240590,1.0,123/625
1980,4234040,123/568.12,BorgWarner Inc.,2,org_gAtcoPgihmNKjvJKWNLC,US,IL,164375,3.0,180/253
1980,4234292,123/457,Klockner-Humboldt-Deutz Aktiengesellschaft,3,org_rYl8az7CpE0BvQvezLyK,DE,,337800,1.0,123/572
1980,4234903,123/490,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,180/428
1980,4235096,123/695,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,3.0,180/268
1980,4235181,123/198D,"Oregon Link, Inc.",2,org_VzIj1qlzWVYwzv1EPGhR,US,OR,397141,1.0,123/198D
1980,4235202,123/276,Maschinenfabrik Augsburg-Nurnberg Aktiengesellschaft,3,org_d7Cgs8GkaSDEwmfFOL1Z,DE,,119492,1.0,180/89.13
1980,4235204,123/674,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4235205,123/472,Mikuni Kogyo Kabushiki Kaisha,3,org_4w48emgyfcvKRnwrg8ae,JP,,35683,5.0,123/472
1980,4235206,123/73V,"Performance Industries, Inc.",2,org_Bsw54bRfztrsOhDnrWFZ,US,PA,99471,1.0,123/73V
1980,4235207,123/568.29,Honda Giken Kogyo Kabushiki Kaisha,3,org_yUTZSCLdspe7vDSdzJ6d,JP,,439112,1.0,180/90
1980,4235208,123/568.32,Honda Giken Kogyo Kabushiki Kaisha,3,org_yUTZSCLdspe7vDSdzJ6d,JP,,439112,2.0,180/90
1980,4235210,123/471,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,7.0,180/84
1980,4235211,123/511,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,1.0,123/656
1980,4235212,123/365,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4235213,123/146.5A,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,1.0,123/618
